,modelId,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie,quantile_alpha,huber_alpha,categorical_encoding,histogram_type,ntrees,max_depth,min_rows,sample_rate,col_sample_rate_per_tree,min_split_improvement
0,GBM_grid_1_AutoML_20190415_223833_model_4,0.008,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,295,16,30.0,0.7,0.7,1e-05
1,GBM_4_AutoML_20190415_223833,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,96,15,100.0,0.8,0.8,1e-05
2,GBM_3_AutoML_20190415_223833,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,96,15,100.0,0.8,0.8,1e-05
3,GBM_grid_1_AutoML_20190415_223833_model_7,0.005,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,165,13,15.0,0.6,0.7,1e-05
4,GBM_2_AutoML_20190415_223833,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,96,15,100.0,0.8,0.8,1e-05
5,GBM_5_AutoML_20190415_223833,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,96,15,100.0,0.8,0.8,1e-05
6,GBM_grid_1_AutoML_20190415_223833_model_2,0.05,1.0,1.0,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,203,7,1.0,0.9,1.0,1e-05
7,GBM_1_AutoML_20190415_223833,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,96,15,100.0,0.8,0.8,1e-05
8,GBM_grid_1_AutoML_20190415_223833_model_1,0.001,1.0,1.0,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,69,13,15.0,0.7,0.7,0.0001
9,GBM_grid_1_AutoML_20190415_223833_model_3,0.01,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,185,7,10.0,0.7,0.4,1e-05
10,GBM_grid_1_AutoML_20190415_223833_model_8,0.1,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,18,17,100.0,0.6,0.4,0.0001
11,GBM_grid_1_AutoML_20190415_223833_model_6,0.008,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,66,5,1.0,0.8,0.4,0.0001
12,GBM_grid_1_AutoML_20190415_223833_model_5,0.005,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,30,5,30.0,0.9,0.4,0.0001
13,GBM_grid_1_AutoML_20190418_130009_model_1,0.01,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,252,17,5.0,1.0,0.4,1e-05
