,modelId,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie,quantile_alpha,huber_alpha,categorical_encoding,histogram_type,ntrees,max_depth,min_rows,sample_rate,col_sample_rate_per_tree,min_split_improvement
0,GBM_grid_1_AutoML_20190415_223833_model_4,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
1,GBM_4_AutoML_20190415_223833,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
2,GBM_3_AutoML_20190415_223833,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
3,GBM_grid_1_AutoML_20190415_223833_model_7,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
4,GBM_2_AutoML_20190415_223833,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
5,GBM_5_AutoML_20190415_223833,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
6,GBM_grid_1_AutoML_20190415_223833_model_2,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
7,GBM_1_AutoML_20190415_223833,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
8,GBM_grid_1_AutoML_20190415_223833_model_1,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
9,GBM_grid_1_AutoML_20190415_223833_model_3,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
10,GBM_grid_1_AutoML_20190415_223833_model_8,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
11,GBM_grid_1_AutoML_20190415_223833_model_6,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
12,GBM_grid_1_AutoML_20190415_223833_model_5,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
13,GBM_grid_1_AutoML_20190418_130009_model_1,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
14,GBM_4_AutoML_20190418_130009,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
15,GBM_3_AutoML_20190418_130009,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
16,GBM_5_AutoML_20190418_130009,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
17,GBM_2_AutoML_20190418_130009,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
18,GBM_1_AutoML_20190418_130009,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
19,GBM_grid_1_AutoML_20190418_130009_model_6,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
20,GBM_grid_1_AutoML_20190418_130009_model_2,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
21,GBM_grid_1_AutoML_20190418_130009_model_5,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
22,GBM_grid_1_AutoML_20190418_130009_model_8,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
23,GBM_grid_1_AutoML_20190418_130009_model_3,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
24,GBM_grid_1_AutoML_20190418_130009_model_4,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
25,GBM_grid_1_AutoML_20190418_130009_model_7,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
26,GBM_grid_1_AutoML_20190418_120619_model_2,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
27,GBM_grid_1_AutoML_20190418_120619_model_5,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
28,GBM_grid_1_AutoML_20190418_120619_model_9,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
29,GBM_4_AutoML_20190418_120619,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
30,GBM_3_AutoML_20190418_120619,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
31,GBM_5_AutoML_20190418_120619,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
32,GBM_2_AutoML_20190418_120619,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
33,GBM_1_AutoML_20190418_120619,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
34,GBM_grid_1_AutoML_20190418_120619_model_15,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
35,GBM_grid_1_AutoML_20190418_120619_model_14,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
36,GBM_grid_1_AutoML_20190418_120619_model_6,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
37,GBM_grid_1_AutoML_20190418_120619_model_7,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
38,GBM_grid_1_AutoML_20190418_120619_model_16,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
39,GBM_grid_1_AutoML_20190418_120619_model_11,0.1,1.0,1.0,1.7976931348623157e+308,0.0,AUTO,1.5,0.5,0.9,AUTO,AUTO,50,5,10.0,1.0,1.0,1e-05
