,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190418_130009_model_1,0.8670921718981007,0.15207801002606788,0.30353364950837525,0.20059900299300704,0.040239960001788436
1,StackedEnsemble_BestOfFamily_AutoML_20190418_130009,0.8637118208630722,0.15419476697353424,0.30600743109474554,0.1987756801880008,0.03951177103420239
2,StackedEnsemble_AllModels_AutoML_20190418_130009,0.8621873823086138,0.15418219498732186,0.3068143491933568,0.1989654853479312,0.039587264359737834
3,DRF_1_AutoML_20190418_130009,0.8457726227347417,0.1779154431146179,0.3635595605669158,0.2014982875633917,0.040601559890979286
4,GBM_4_AutoML_20190418_130009,0.8415920044237276,0.15955089059964547,0.3649333353641536,0.20260130322108252,0.04104728806688104
5,XRT_1_AutoML_20190418_130009,0.8405607171099659,0.1885397174628568,0.35636495848725563,0.2029474366387591,0.041187662038243165
6,GBM_3_AutoML_20190418_130009,0.8394772648074461,0.16225763664723686,0.3857528092596663,0.20512365319825812,0.042075713101399285
7,GBM_5_AutoML_20190418_130009,0.8370552896288967,0.1651080943745042,0.4090136729301991,0.20746782196291974,0.043042897150037764
8,GBM_2_AutoML_20190418_130009,0.8346021605969955,0.16486212625246452,0.4059479595925045,0.2069544184608935,0.04283013132048662
9,GBM_1_AutoML_20190418_130009,0.8309705809270731,0.16694070803303301,0.3722029150103073,0.2083789497440601,0.043421786696437516
10,GBM_grid_1_AutoML_20190418_130009_model_6,0.8236483069583963,0.17323228836968138,0.41313655971028296,0.21281535135485166,0.045290373772288985
11,GBM_grid_1_AutoML_20190418_130009_model_2,0.8054297572045057,0.192642028449785,0.4595449157116233,0.21791706254662366,0.04748784614894907
12,GBM_grid_1_AutoML_20190418_130009_model_5,0.7998007451106977,0.1832434874793696,0.4577160931671139,0.21631510721091612,0.046792225607670164
13,GBM_grid_1_AutoML_20190418_130009_model_8,0.7045182512916086,0.21144350385997934,0.4941159514832479,0.2304462088187265,0.053105455158924106
14,GBM_grid_1_AutoML_20190418_130009_model_3,0.6802276797709672,0.21569139404545776,0.4964071385336813,0.2320896937408802,0.053865625940735566
15,GBM_grid_1_AutoML_20190418_130009_model_4,0.6562465977499148,0.21991292107999227,0.4916304135647139,0.23323484314205686,0.05439849205549986
16,GBM_grid_1_AutoML_20190418_130009_model_7,0.6183015970990051,0.22061188657759676,0.4956650040577702,0.2334146451586377,0.054482396574532736
17,DeepLearning_1_AutoML_20190418_130009,0.552901462778001,0.22479233371758764,0.5,0.234053376033122,0.05478098283250199
18,DeepLearning_grid_1_AutoML_20190418_130009_model_1,0.5251909426416664,0.29629745769985,0.5,0.2380051941702483,0.056646472452017614
19,DeepLearning_grid_1_AutoML_20190418_130009_model_2,0.5242596652588893,0.2252531890782916,0.5,0.23401542695083924,0.054763220050983566
20,GLM_grid_1_AutoML_20190418_130009_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
21,DeepLearning_grid_1_AutoML_20190418_130009_model_3,0.5080086832593791,0.4648248897491331,0.5,0.2404068409848405,0.05779544919231041
