id_classification,runtime,model_id,auc,logloss,mean_per_class_error,rmse,mse
1,500,StackedEnsemble_BestOfFamily_AutoML_20190418_113508,0.856111109,0.158490934,0.344328848,0.202149744,0.040864519
2,500,StackedEnsemble_AllModels_AutoML_20190418_113508,0.856111109,0.158490934,0.344328848,0.202149744,0.040864519
3,500,XRT_1_AutoML_20190418_113508,0.84892478,0.166167732,0.345581935,0.201884499,0.040757351
4,500,DRF_1_AutoML_20190418_113508,0.84584089,0.176126137,0.367894557,0.201808512,0.040726676
5,500,XGBoost_1_AutoML_20190418_113508,0.827603395,0.17070093,0.423486734,0.211061573,0.044546988
6,500,GLM_grid_1_AutoML_20190418_113508_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
7,700,GBM_grid_1_AutoML_20190418_130009_model_1,0.867092172,0.15207801,0.30353365,0.200599003,0.04023996
8,700,StackedEnsemble_BestOfFamily_AutoML_20190418_130009,0.863711821,0.154194767,0.306007431,0.19877568,0.039511771
9,700,StackedEnsemble_AllModels_AutoML_20190418_130009,0.862187382,0.154182195,0.306814349,0.198965485,0.039587264
10,700,DRF_1_AutoML_20190418_130009,0.845772623,0.177915443,0.363559561,0.201498288,0.04060156
11,700,GBM_4_AutoML_20190418_130009,0.841592004,0.159550891,0.364933335,0.202601303,0.041047288
12,700,XRT_1_AutoML_20190418_130009,0.840560717,0.188539717,0.356364958,0.202947437,0.041187662
13,700,GBM_3_AutoML_20190418_130009,0.839477265,0.162257637,0.385752809,0.205123653,0.042075713
14,700,GBM_5_AutoML_20190418_130009,0.83705529,0.165108094,0.409013673,0.207467822,0.043042897
15,700,GBM_2_AutoML_20190418_130009,0.834602161,0.164862126,0.40594796,0.206954418,0.042830131
16,700,GBM_1_AutoML_20190418_130009,0.830970581,0.166940708,0.372202915,0.20837895,0.043421787
17,700,GBM_grid_1_AutoML_20190418_130009_model_6,0.823648307,0.173232288,0.41313656,0.212815351,0.045290374
18,700,GBM_grid_1_AutoML_20190418_130009_model_2,0.805429757,0.192642028,0.459544916,0.217917063,0.047487846
19,700,GBM_grid_1_AutoML_20190418_130009_model_5,0.799800745,0.183243487,0.457716093,0.216315107,0.046792226
20,700,GBM_grid_1_AutoML_20190418_130009_model_8,0.704518251,0.211443504,0.494115951,0.230446209,0.053105455
21,700,GBM_grid_1_AutoML_20190418_130009_model_3,0.68022768,0.215691394,0.496407139,0.232089694,0.053865626
22,700,GBM_grid_1_AutoML_20190418_130009_model_4,0.656246598,0.219912921,0.491630414,0.233234843,0.054398492
23,700,GBM_grid_1_AutoML_20190418_130009_model_7,0.618301597,0.220611887,0.495665004,0.233414645,0.054482397
24,700,DeepLearning_1_AutoML_20190418_130009,0.552901463,0.224792334,0.5,0.234053376,0.054780983
25,700,DeepLearning_grid_1_AutoML_20190418_130009_model_1,0.525190943,0.296297458,0.5,0.238005194,0.056646472
26,700,DeepLearning_grid_1_AutoML_20190418_130009_model_2,0.524259665,0.225253189,0.5,0.234015427,0.05476322
27,700,GLM_grid_1_AutoML_20190418_130009_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
28,700,DeepLearning_grid_1_AutoML_20190418_130009_model_3,0.508008683,0.46482489,0.5,0.240406841,0.057795449
29,1000,StackedEnsemble_AllModels_AutoML_20190418_115600,0.857600005,0.157884812,0.344735308,0.201399484,0.040561752
30,1000,StackedEnsemble_BestOfFamily_AutoML_20190418_115600,0.857401163,0.157877825,0.33480779,0.201301931,0.040522467
31,1000,DRF_1_AutoML_20190418_115600,0.850436258,0.178161,0.352707313,0.201647563,0.04066174
32,1000,XRT_1_AutoML_20190418_115600,0.848300072,0.171753557,0.352427543,0.201987236,0.040798844
33,1000,XGBoost_2_AutoML_20190418_115600,0.841247024,0.162607517,0.407919668,0.205866191,0.042380889
34,1000,XGBoost_1_AutoML_20190418_115600,0.830684374,0.169028054,0.426573083,0.210063815,0.044126806
35,1000,GLM_grid_1_AutoML_20190418_115600_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
36,1200,StackedEnsemble_AllModels_AutoML_20190418_120619,0.856369398,0.156949471,0.371743675,0.200740555,0.04029677
37,1200,StackedEnsemble_BestOfFamily_AutoML_20190418_120619,0.854216845,0.157097946,0.326396932,0.2005706,0.040228566
38,1200,GBM_grid_1_AutoML_20190418_120619_model_2,0.853117829,0.154296155,0.328586504,0.200303301,0.040121412
39,1200,GBM_grid_1_AutoML_20190418_120619_model_5,0.850342318,0.16096146,0.365139443,0.205496569,0.04222884
