id_classification,runtime,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,700,GBM_grid_1_AutoML_20190418_130009_model_1,0.867092172,0.15207801,0.30353365,0.200599003,0.04023996
1,,StackedEnsemble_BestOfFamily_AutoML_20190418_130009,0.863711821,0.154194767,0.306007431,0.19877568,0.039511771
2,,StackedEnsemble_AllModels_AutoML_20190418_130009,0.862187382,0.154182195,0.306814349,0.198965485,0.039587264
3,,DRF_1_AutoML_20190418_130009,0.845772623,0.177915443,0.363559561,0.201498288,0.04060156
4,,GBM_4_AutoML_20190418_130009,0.841592004,0.159550891,0.364933335,0.202601303,0.041047288
5,,XRT_1_AutoML_20190418_130009,0.840560717,0.188539717,0.356364958,0.202947437,0.041187662
6,,GBM_3_AutoML_20190418_130009,0.839477265,0.162257637,0.385752809,0.205123653,0.042075713
7,,GBM_5_AutoML_20190418_130009,0.83705529,0.165108094,0.409013673,0.207467822,0.043042897
8,,GBM_2_AutoML_20190418_130009,0.834602161,0.164862126,0.40594796,0.206954418,0.042830131
9,,GBM_1_AutoML_20190418_130009,0.830970581,0.166940708,0.372202915,0.20837895,0.043421787
10,,GBM_grid_1_AutoML_20190418_130009_model_6,0.823648307,0.173232288,0.41313656,0.212815351,0.045290374
11,,GBM_grid_1_AutoML_20190418_130009_model_2,0.805429757,0.192642028,0.459544916,0.217917063,0.047487846
12,,GBM_grid_1_AutoML_20190418_130009_model_5,0.799800745,0.183243487,0.457716093,0.216315107,0.046792226
13,,GBM_grid_1_AutoML_20190418_130009_model_8,0.704518251,0.211443504,0.494115951,0.230446209,0.053105455
14,,GBM_grid_1_AutoML_20190418_130009_model_3,0.68022768,0.215691394,0.496407139,0.232089694,0.053865626
15,,GBM_grid_1_AutoML_20190418_130009_model_4,0.656246598,0.219912921,0.491630414,0.233234843,0.054398492
16,,GBM_grid_1_AutoML_20190418_130009_model_7,0.618301597,0.220611887,0.495665004,0.233414645,0.054482397
17,,DeepLearning_1_AutoML_20190418_130009,0.552901463,0.224792334,0.5,0.234053376,0.054780983
18,,DeepLearning_grid_1_AutoML_20190418_130009_model_1,0.525190943,0.296297458,0.5,0.238005194,0.056646472
19,,DeepLearning_grid_1_AutoML_20190418_130009_model_2,0.524259665,0.225253189,0.5,0.234015427,0.05476322
20,,GLM_grid_1_AutoML_20190418_130009_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
21,,DeepLearning_grid_1_AutoML_20190418_130009_model_3,0.508008683,0.46482489,0.5,0.240406841,0.057795449
,500,StackedEnsemble_BestOfFamily_AutoML_20190418_113508,0.856111109,0.158490934,0.344328848,0.202149744,0.040864519
,,StackedEnsemble_AllModels_AutoML_20190418_113508,0.856111109,0.158490934,0.344328848,0.202149744,0.040864519
,,XRT_1_AutoML_20190418_113508,0.84892478,0.166167732,0.345581935,0.201884499,0.040757351
,,DRF_1_AutoML_20190418_113508,0.84584089,0.176126137,0.367894557,0.201808512,0.040726676
,,XGBoost_1_AutoML_20190418_113508,0.827603395,0.17070093,0.423486734,0.211061573,0.044546988
,,GLM_grid_1_AutoML_20190418_113508_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
0,,StackedEnsemble_BestOfFamily_AutoML_20190415_223833,0.856671152,0.157902345,0.321375706,0.201542371,0.040619328
1,,StackedEnsemble_AllModels_AutoML_20190415_223833,0.854777982,0.157885426,0.347678771,0.201552397,0.040623369
2,,XRT_1_AutoML_20190415_223833,0.849528212,0.165403133,0.338460995,0.201547531,0.040621407
3,,GBM_grid_1_AutoML_20190415_223833_model_4,0.849182471,0.166636496,0.390226252,0.209609203,0.043936018
4,,DRF_1_AutoML_20190415_223833,0.846747732,0.175524016,0.359102314,0.201690405,0.040679019
5,,GBM_4_AutoML_20190415_223833,0.844583645,0.159089954,0.40071331,0.202446976,0.040984778
6,,GBM_3_AutoML_20190415_223833,0.838655705,0.162401345,0.396755259,0.205071734,0.042054416
7,,GBM_grid_1_AutoML_20190415_223833_model_7,0.837917472,0.186378661,0.412229589,0.220648857,0.048685918
8,,GBM_2_AutoML_20190415_223833,0.837077949,0.163354284,0.39883146,0.205800554,0.042353868
9,,GBM_5_AutoML_20190415_223833,0.835212943,0.165360869,0.421414973,0.207358683,0.042997623
10,,GBM_grid_1_AutoML_20190415_223833_model_2,0.833633881,0.16591075,0.390233568,0.20795614,0.043245756
11,,GBM_1_AutoML_20190415_223833,0.832225409,0.166481162,0.412541751,0.208060405,0.043289132
12,,GBM_grid_1_AutoML_20190415_223833_model_1,0.817273225,0.215183713,0.436503478,0.232010826,0.053829023
13,,GBM_grid_1_AutoML_20190415_223833_model_3,0.792160316,0.19688631,0.465003431,0.22526999,0.050746568
14,,GBM_grid_1_AutoML_20190415_223833_model_8,0.750200182,0.204731179,0.493604999,0.22866738,0.052288771
15,,GBM_grid_1_AutoML_20190415_223833_model_6,0.723355814,0.215015561,0.491528799,0.231892581,0.053774169
16,,GBM_grid_1_AutoML_20190415_223833_model_5,0.694357237,0.218986913,0.495369038,0.233012211,0.05429469
17,,DeepLearning_1_AutoML_20190415_223833,0.565389257,0.222464604,0.5,0.233322776,0.054439518
18,,DeepLearning_grid_1_AutoML_20190415_223833_model_1,0.540133864,0.333057198,0.5,0.238357755,0.056814419
19,,DeepLearning_grid_1_AutoML_20190415_223833_model_3,0.534006595,0.222863335,0.498203569,0.233612234,0.054574676
20,,GLM_grid_1_AutoML_20190415_223833_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
21,,DeepLearning_grid_1_AutoML_20190415_223833_model_2,0.521801721,0.261948824,0.5,0.237053154,0.056194198
,,,,,,,
,,StackedEnsemble_AllModels_AutoML_20190418_120619,0.856369398,0.156949471,0.371743675,0.200740555,0.04029677
,,StackedEnsemble_BestOfFamily_AutoML_20190418_120619,0.854216845,0.157097946,0.326396932,0.2005706,0.040228566
,,GBM_grid_1_AutoML_20190418_120619_model_2,0.853117829,0.154296155,0.328586504,0.200303301,0.040121412
,,GBM_grid_1_AutoML_20190418_120619_model_5,0.850342318,0.16096146,0.365139443,0.205496569,0.04222884
,,DRF_1_AutoML_20190418_120619,0.847917534,0.178072075,0.359025774,0.20137859,0.040553336
,,GBM_grid_1_AutoML_20190418_120619_model_9,0.845874759,0.160481777,0.359021335,0.204446299,0.041798289
,,GBM_4_AutoML_20190418_120619,0.845187811,0.159093524,0.362836499,0.202632711,0.041060016
,,XRT_1_AutoML_20190418_120619,0.843906533,0.171060627,0.338773157,0.202070482,0.04083248
,,GBM_3_AutoML_20190418_120619,0.839115269,0.162472737,0.393567295,0.20526248,0.042132686
,,GBM_5_AutoML_20190418_120619,0.834543003,0.165615854,0.41958615,0.207438552,0.043030753
,,GBM_2_AutoML_20190418_120619,0.83443875,0.165033595,0.393724815,0.206900336,0.042807749
,,GBM_1_AutoML_20190418_120619,0.830627342,0.166141896,0.397816872,0.207608173,0.043101154
,,GBM_grid_1_AutoML_20190418_120619_model_15,0.828144929,0.170879414,0.415769423,0.21132028,0.044656261
,,GBM_grid_1_AutoML_20190418_120619_model_14,0.822908341,0.188626702,0.445473875,0.221810151,0.049199743
,,GBM_grid_1_AutoML_20190418_120619_model_6,0.798849951,0.19122955,0.480331998,0.223457372,0.049933197
,,GBM_grid_1_AutoML_20190418_120619_model_7,0.797635744,0.21352216,0.468434334,0.223637827,0.050013878
,,GBM_grid_1_AutoML_20190418_120619_model_16,0.777326267,0.201167611,0.479282141,0.226860144,0.051465525
,,GBM_grid_1_AutoML_20190418_120619_model_11,0.775472275,0.190178521,0.474115152,0.222133607,0.049343339
,,GBM_grid_1_AutoML_20190418_120619_model_8,0.773833748,0.190999917,0.484817196,0.222038167,0.049300947
,,GBM_grid_1_AutoML_20190418_120619_model_1,0.77312036,0.192944752,0.494034972,0.223614007,0.050003224
,,GBM_grid_1_AutoML_20190418_120619_model_3,0.760985921,0.197566125,0.5,0.224849018,0.050557081
,,GBM_grid_1_AutoML_20190418_120619_model_12,0.708759461,0.219699277,0.5,0.230992204,0.053357398
,,GBM_grid_1_AutoML_20190418_120619_model_4,0.662255612,0.219719865,0.498434752,0.233197805,0.054381216
,,GBM_grid_1_AutoML_20190418_120619_model_10,0.637606954,0.218980898,0.499736426,0.233002265,0.054290056
,,GBM_grid_1_AutoML_20190418_120619_model_13,0.63190136,0.218857408,0.494314742,0.232912952,0.054248443
,,DeepLearning_grid_1_AutoML_20190418_120619_model_2,0.582735542,0.222938556,0.5,0.233180201,0.054373006
,,DeepLearning_1_AutoML_20190418_120619,0.567207186,0.223579149,0.5,0.233445946,0.05449701
,,DeepLearning_grid_1_AutoML_20190418_120619_model_1,0.53888958,0.314711639,0.5,0.237709989,0.056506039
,,GLM_grid_1_AutoML_20190418_120619_model_1,0.522591052,0.220979243,0.5,0.233516657,0.054530029
